# clock_gettime_ns rdtsc_ticks mach_abs_s
4096000 5903186 0.003375142
4112000 6331862 0.003272804
3252000 6609444 0.004305838
3428000 6168490 0.003919900
4797000 7909026 0.003453516
3223000 6078898 0.004147178
3454000 6374574 0.003133865
3372000 5945542 0.003174960
3578000 6331114 0.003500148
3394000 7523150 0.003255617
3484000 6129640 0.003228518
3197000 5928070 0.003410296
3394000 6034190 0.003469088
3597000 6547198 0.003811828
3456000 7099768 0.003740008
3701000 6439980 0.003394076
4146000 6748538 0.004146701
3309000 6671090 0.003454884
3441000 6034864 0.003751354
3392000 5757178 0.003494330
3585000 7142566 0.003200534
3393000 7340072 0.003577085
3293000 6112316 0.003581922
3545000 5965974 0.004489656
4867000 5890968 0.003345973
3883000 6271426 0.003518166
3520000 5698936 0.003286824
3281000 6069458 0.003077968
3315000 7183988 0.004038564
3306000 5956326 0.003256898
3369000 6093196 0.003874557
3238000 6092172 0.003246106
3444000 6519016 0.003728155
3299000 6444048 0.003531450
4250000 7385888 0.004252710
3999000 7128946 0.003862255
4391000 7256782 0.004498526
4038000 6614602 0.004011011
3719000 6627418 0.003695156
3754000 7226614 0.003852595
3531000 5776202 0.003341926
4050000 6812868 0.004306943
3809000 6623814 0.003430319
3410000 6842444 0.003429111
3678000 5845822 0.003326637
3170000 6035342 0.003423724
3341000 6041360 0.003215993
3097000 6263776 0.003767119
3331000 5863682 0.003320650
3772000 5752598 0.003253487
3428000 6138026 0.003256747
3193000 6724704 0.003318864
3294000 6755522 0.003163006
3188000 6379372 0.003648234
3376000 6270330 0.003377614
3359000 6508564 0.003236536
3356000 5983840 0.003241567
3657000 6467396 0.003308551
3227000 6235130 0.003296525
3313000 6579000 0.003749243
3362000 6927964 0.003325872
3318000 5867138 0.003362096
3568000 5993136 0.003353876
3417000 6733038 0.003516519
3239000 5742500 0.003370564
3388000 6359120 0.003182719
3339000 5767612 0.003375003
3349000 6401094 0.003202673
3347000 6218238 0.003623181
3237000 5863072 0.003248679
3426000 5842078 0.003084542
3408000 6147968 0.003630669
3710000 6316856 0.003281999
3422000 7050178 0.003447363
3748000 7026874 0.003652253
5204000 6902092 0.003576842
3689000 8627962 0.003540031
3318000 6540844 0.003645138
3215000 5934674 0.003949605
3846000 6563052 0.003790513
3618000 5816074 0.003429627
4120000 5747530 0.003455882
3450000 6450158 0.003237706
3345000 7401226 0.003406719
3798000 6342680 0.003966676
3605000 6486582 0.003281022
3472000 6576298 0.003184434
3490000 6940218 0.003344902
3407000 6037786 0.004882093
3314000 5977610 0.003452559
3885000 6004174 0.003338821
3818000 6917588 0.004206002
3558000 6039324 0.003369996
3487000 6544850 0.003460164
3539000 6355860 0.003619340
3822000 6197684 0.003609459
3643000 6962028 0.003343066
3187000 5925768 0.003407149
3598000 6912570 0.003518118
3409000 6587354 0.003831094
