# clock_gettime_ns rdtsc_ticks mach_abs_s
949000 2891422 0.001049081
890000 1608434 0.000792690
888000 1639636 0.000842433
862000 1833350 0.000802915
885000 2408598 0.000923711
1469000 2043162 0.001041558
1013000 1481136 0.000833688
1076000 1617426 0.001208456
1385000 2015868 0.000956905
1073000 1629574 0.001467560
1332000 2261958 0.000890392
972000 1769370 0.000997749
940000 1645810 0.000799821
855000 1705874 0.001000085
844000 1469524 0.000857093
907000 1560364 0.000853992
953000 1595940 0.001004252
876000 1594336 0.000842140
862000 1467394 0.000799485
911000 1505740 0.000822280
942000 1457816 0.000825887
862000 1476584 0.000889060
938000 2595630 0.000847116
945000 1465632 0.000861379
920000 1453640 0.000815278
872000 1636118 0.000908389
938000 1801686 0.001034280
855000 1712968 0.000821569
966000 3595710 0.000956098
1101000 1551110 0.000827191
994000 1778272 0.000830770
897000 1493442 0.001027220
850000 1651100 0.000810174
985000 1621436 0.000999176
1091000 1782592 0.000817925
946000 1467920 0.001241080
861000 1548130 0.000836578
893000 1526960 0.000803195
852000 1484040 0.000843379
854000 1633488 0.000854435
905000 1461608 0.001082042
1453000 1505316 0.000919108
890000 1491402 0.000967539
905000 2258080 0.000844468
853000 1507642 0.000889658
833000 2370368 0.001094010
1053000 1582896 0.000871315
834000 1464282 0.000848195
885000 1473532 0.000809919
988000 1831368 0.000925217
965000 1619096 0.000861814
1527000 1605164 0.001040865
873000 1448770 0.000822076
869000 1487792 0.000803080
903000 1487952 0.000791543
918000 1492450 0.000798210
1042000 1609202 0.000939377
856000 1857700 0.001017994
1096000 1596362 0.000786954
988000 1471556 0.000832465
874000 1534038 0.000835353
886000 1486760 0.000822190
869000 1510588 0.000847899
853000 1751916 0.000922283
852000 1502186 0.001007190
1008000 1639246 0.001107480
874000 1477972 0.000865913
871000 2151066 0.000897605
852000 1498460 0.000795470
1131000 1711512 0.000985495
898000 1475228 0.000781099
942000 1498262 0.000837915
898000 1493252 0.000808676
899000 1564862 0.000884183
1103000 1600166 0.000840755
939000 1718792 0.001126658
1874000 1631024 0.000833292
967000 1463438 0.000869771
946000 1483886 0.000885145
847000 1566160 0.000843972
972000 1582928 0.000792017
1366000 1479388 0.000813726
980000 1823716 0.000799685
846000 1890512 0.000973925
850000 1630236 0.000800967
1047000 1716672 0.000798437
861000 1464038 0.001033452
1026000 2022828 0.001228726
1509000 2053916 0.000862185
1241000 1597262 0.000878794
848000 1669062 0.000871582
957000 1486888 0.000804488
855000 1623808 0.000855844
856000 1566518 0.000816245
848000 1479322 0.000908392
1098000 2239946 0.001002045
1318000 2078090 0.000886066
973000 1632670 0.001135980
1286000 1654862 0.001192257
1528000 1708926 0.001199723
