# GetTickCount_ms QPC_ticks RDTSC_ticks
0 542 118842
0 541 118843
0 541 118794
0 541 118770
0 542 118771
0 541 118770
0 541 118934
0 546 120240
0 544 119345
0 594 130686
16 591 129786
0 591 129594
0 590 129567
0 590 129569
0 591 131055
0 590 139297
0 590 128661
0 664 118458
0 539 117855
0 539 118141
0 542 118842
0 653 129594
0 590 129795
0 590 130174
0 590 129681
0 589 129203
0 586 128937
0 591 128569
0 587 129712
0 593 130111
0 590 129597
0 591 129594
0 590 131054
0 657 129574
0 591 129620
0 604 119497
0 539 118100
0 539 117856
0 540 118080
0 586 118503
0 591 129732
0 590 129591
0 590 129566
0 593 306459
0 590 129578
0 590 129568
0 593 129992
0 590 130564
0 643 130020
0 592 159764
0 590 129594
0 758 118795
0 543 118795
0 541 119514
0 540 120285
0 593 117854
0 539 118642
0 663 129108
0 588 129435
0 585 128735
0 591 454164
0 636 128597
0 586 128866
0 586 147073
0 585 128569
0 699 137172
0 539 118883
0 547 118505
0 538 117859
0 582 118457
0 541 119459
0 541 118802
0 2863 232241
0 703 138437
0 590 130165
0 592 130763
0 590 129627
0 601 129829
0 586 128736
0 588 130366
0 538 118036
0 537 117880
0 537 117879
0 537 128025
0 538 117855
0 539 138863
0 658 129048
0 586 128569
0 586 128570
0 661 136135
0 3010 135161
0 705 145188
0 590 129574
0 628 118807
0 541 204192
0 700 118809
0 544 119207
0 543 120112
0 541 118771
0 594 129926
