# size_bytes, sequential_ns, random_ns, random_index_ns
1024, 0.78, 14.06, 1.56
2048, 0.39, 13.67, 0.78
3072, 0.78, 12.76, 1.04
4096, 0.20, 12.70, 0.59
5120, 0.16, 12.50, 0.62
6144, 0.00, 12.76, 0.78
7168, 0.45, 12.61, 0.56
8192, 0.10, 12.70, 0.88
9216, 0.26, 12.59, 0.78
10240, 0.23, 12.58, 0.62
11264, 0.14, 12.64, 0.71
12288, 0.13, 12.63, 0.65
13312, 0.18, 12.74, 0.66
14336, 0.11, 12.67, 0.84
15360, 0.16, 12.60, 0.52
16384, 0.00, 10.06, 0.49
17408, 0.05, 9.88, 0.46
18432, 0.04, 9.94, 0.43
19456, 0.04, 11.10, 0.70
20480, 0.12, 12.66, 0.74
21504, 0.15, 14.14, 0.86
22528, 0.14, 12.57, 0.60
23552, 0.07, 9.92, 0.51
24576, 0.07, 9.93, 3.48
25600, 0.12, 19.12, 0.72
26624, 0.09, 19.23, 0.63
27648, 0.09, 16.64, 0.52
28672, 0.06, 13.53, 0.53
29696, 0.05, 10.24, 0.67
30720, 0.05, 12.14, 0.62
31744, 0.10, 11.24, 0.71
32768, 0.15, 13.18, 0.59
33792, 0.09, 9.97, 1.11
34816, 0.11, 10.00, 0.57
35840, 0.11, 10.07, 0.65
36864, 0.20, 11.05, 0.67
37888, 0.15, 10.41, 0.84
38912, 0.14, 10.94, 0.62
39936, 0.10, 10.06, 0.60
40960, 0.14, 9.92, 0.59
41984, 0.15, 10.35, 0.59
43008, 0.19, 12.57, 0.67
44032, 0.18, 11.77, 1.02
45056, 0.16, 12.55, 2.31
46080, 0.10, 10.02, 1.11
47104, 0.17, 12.04, 0.83
48128, 0.17, 9.94, 0.60
49152, 0.15, 9.93, 0.62
50176, 0.16, 9.92, 0.94
51200, 0.16, 13.06, 0.89
52224, 0.15, 10.03, 0.87
53248, 0.17, 12.64, 1.08
54272, 0.13, 13.27, 0.88
55296, 0.13, 12.56, 0.85
56320, 0.14, 12.59, 0.88
57344, 0.17, 13.36, 0.88
58368, 0.14, 12.54, 0.88
59392, 0.16, 12.98, 0.89
60416, 0.15, 13.00, 0.91
61440, 0.16, 12.57, 0.87
62464, 0.15, 12.76, 0.90
63488, 0.14, 12.54, 1.99
64512, 0.16, 12.54, 0.91
65536, 0.16, 12.57, 0.89
66560, 0.16, 13.65, 0.93
67584, 0.14, 13.28, 0.69
68608, 0.14, 12.02, 0.87
69632, 0.14, 13.07, 1.13
70656, 0.15, 12.79, 0.91
71680, 0.15, 13.07, 2.20
72704, 0.13, 10.67, 0.68
73728, 0.17, 9.98, 0.69
74752, 0.15, 10.52, 0.85
75776, 0.15, 14.59, 0.96
76800, 0.12, 12.97, 0.89
77824, 0.11, 12.57, 0.93
78848, 0.14, 12.88, 1.01
79872, 0.14, 14.72, 1.92
80896, 0.20, 15.78, 1.22
81920, 0.14, 12.50, 0.95
82944, 0.18, 12.07, 0.89
83968, 0.14, 12.50, 1.09
84992, 0.14, 15.01, 1.06
86016, 0.14, 12.59, 0.99
87040, 0.15, 10.98, 0.76
88064, 0.12, 10.01, 0.73
89088, 0.14, 12.85, 0.75
90112, 0.13, 10.45, 1.23
91136, 0.16, 11.96, 0.83
92160, 0.14, 12.60, 0.81
93184, 0.11, 10.70, 0.87
94208, 0.14, 12.19, 0.75
95232, 0.12, 10.64, 1.01
96256, 0.13, 11.58, 0.77
