algorithm,N,S,time_sec,gflops
CPU,512,8,0.706525,
Naive,512,8,0.0031849,84.2839
Row,512,8,0.00203552,131.876
Col,512,8,0.011587,23.1669
Tiled,512,8,0.0031569,85.0315
CPU,1024,8,8.00432,
Naive,1024,8,0.0108656,197.641
Row,1024,8,0.00794736,270.213
Col,1024,8,0.0543753,39.4937
Tiled,1024,8,0.0116588,184.194
CPU,512,16,0.743415,
Naive,512,16,0.00275427,97.4615
Row,512,16,0.00183514,146.276
Col,512,16,0.00699747,38.3618
Tiled,512,16,0.00165158,162.532
CPU,1024,16,7.87298,
Naive,1024,16,0.0144101,149.026
Row,1024,16,0.0102139,210.252
Col,1024,16,0.0835097,25.7154
Tiled,1024,16,0.0104267,205.961
CPU,512,32,0.7451,
Naive,512,32,0.00274429,97.8161
Row,512,32,0.00186646,143.82
Col,512,32,0.00739283,36.3102
Tiled,512,32,0.00178445,150.431
CPU,1024,32,7.29006,
Naive,1024,32,0.0149511,143.633
Row,1024,32,0.0085983,249.757
Col,1024,32,0.0609465,35.2356
Tiled,1024,32,0.00719533,298.455
CPU,512,0,0.756305,
Naive,512,0,0.00308563,86.9953
Row,512,0,0.00201792,133.026
Col,512,0,0.00748954,35.8414
CPU,1024,0,8.03666,
Naive,1024,0,0.0141112,152.183
Row,1024,0,0.00990627,216.78
Col,1024,0,0.0863695,24.8639
